pmid,ref_list
19074398,[]
18389060,[]
16938894,"['9023230', '20639316']"
15784602,[]
17010160,[]
21245330,[]
19996181,[]
21989159,"['20592237', '20627892']"
22457642,[]
21687430,"['19116616', '22082910']"
21113180,['19687040']
22123973,"['21646430', '20592237']"
18031307,[]
19121005,['20592237']
21646430,['22123973']
1629159,"['10759521', '11823218']"
7814329,[]
21784929,"['3283109', '11823218', '6355059']"
15205426,[]
11244055,"['20709847', '7608084', '9023230', '18302792', '15601715']"
15601715,"['18302792', '7608084', '11244055', '4643319']"
17220229,[]
18302792,"['15601715', '7608084', '20709847', '11244055']"
18359805,[]
20709847,"['11244055', '18302792', '7608084']"
21856852,"['21749486', '17827328']"
22082910,"['19116616', '21687430', '20057383']"
8576052,[]
8550474,"['8759866', '11807066']"
9171421,['8759866']
8759866,"['11807066', '8550474', '9171421']"
8576051,[]
10884408,[]
12649434,[]
11823218,"['1629159', '10759521', '21784929']"
9647837,"['9683472', '17360515']"
9683472,"['17360515', '9647837']"
14532045,"['9501228', '12228259', '9435261']"
10759521,"['1629159', '11823218']"
7592351,['9515921']
9294455,['9294456']
9294456,['9294455']
9515921,['7592351']
9573181,[]
7608084,"['15601715', '11244055', '18302792', '20709847']"
9435261,"['9501228', '8990197', '14532045']"
9501228,"['20966091', '9435261', '14532045', '8751923', '11401961']"
8990197,"['8300543', '9435261']"
8096622,"['6811555', '9006020']"
8631663,"['9624497', '9765585', '9573179']"
9006020,['8096622']
9573179,"['9624497', '8631663', '9765585']"
9624497,"['8631663', '9573179', '9765585']"
9765585,"['8631663', '9573179', '9624497']"
7927711,"['8432618', '7505262']"
6811555,"['7022453', '7022452', '8096622']"
6973759,"['7022452', '7022453']"
7022452,"['7022453', '6811555', '6973759']"
7022453,"['7022452', '6811555', '6973759']"
1906066,[]
1339408,['8432618']
8419308,[]
8432589,[]
8432618,"['7927711', '1339408']"
8449892,[]
8349565,"['8349566', '8083183']"
8349566,"['8349565', '8083183']"
7505262,['7927711']
8083183,"['8349566', '8349565']"
10858235,[]
15803655,"['16513741', '9529892', '8576036', '15743948']"
11058151,['7790094']
11238984,[]
9721270,['9603824']
9841674,['17784789']
8751923,"['9712795', '11401961', '9501228']"
9712795,"['8751923', '11401961']"
10633126,[]
11118204,[]
11401961,"['8751923', '9712795', '9501228']"
18701636,[]
18577206,['19654869']
19212443,[]
21447149,[]
19881496,[]
20639316,['16938894']
20592237,"['22123973', '21989159', '19121005']"
20877578,[]
22820204,[]
15377793,"['17397553', '15377794']"
15377794,"['17873073', '19038032', '22615773', '17397553', '17933898', '15377793']"
16825379,"['17898162', '18003806', '17873073', '20668530']"
17397553,"['17873073', '17933898', '22615773', '15377793', '19038032', '18384685', '15377794', '18003806', '17557878', '17898162']"
17430587,[]
17873073,"['17397553', '22615773', '15377794', '18003806', '18384685', '17933898', '17898162', '16825379', '19038032']"
17898162,"['18003806', '16825379', '18384685', '17873073', '17933898', '11923347', '17397553', '22615773']"
17933898,"['17397553', '18384685', '19038032', '22615773', '17873073', '15377794', '17898162']"
18003806,"['17898162', '17873073', '16825379', '17397553', '18384685']"
18384685,"['17933898', '17873073', '17397553', '17898162', '18003806', '22615773']"
19038032,"['15377794', '17933898', '17397553', '22615773', '17873073']"
18832470,['14762000']
19521508,[]
19325880,['22075580']
14762000,['18832470']
20581186,[]
19745111,"['20360213', '19014515', '18321378', '19858364']"
19654869,"['22919641', '18577206']"
20548290,['19216750']
17328791,[]
16796686,[]
18811729,"['20041211', '10913088', '19411324', '20333253']"
19411324,['18811729']
19651857,[]
20041211,"['18811729', '10913088']"
10913088,"['18811729', '20041211']"
20124349,[]
21966902,['19776066']
20418442,[]
21159868,[]
21126349,[]
15590782,"['18221513', '21697014']"
17993529,['19265535']
22919641,['19654869']
17194304,"['19858364', '18321378', '18613975', '20627892', '21575182', '18190707']"
19858364,"['17194304', '18321378', '21575182', '18613975', '20360213', '20627892', '19745111']"
20360213,"['19745111', '19014515', '18321378', '19858364']"
20627892,"['17194304', '21989159', '19858364']"
21575182,"['19858364', '17194304']"
21551269,[]
18613975,"['17194304', '19858364', '18321378', '18212113']"
19014515,"['20360213', '19745111']"
11997347,[]
16223955,[]
12730133,['12730134']
12730134,['12730133']
18689507,"['19587241', '21655301']"
19200360,['17971224']
19587241,"['18689507', '21655301']"
19776066,"['17785263', '18270153', '21966902']"
17785263,"['18270153', '19776066']"
17971224,['19200360']
18270153,"['17785263', '19776066']"
19116616,"['20057383', '19888215', '22082910', '21251315', '21687430']"
19888215,"['20057383', '19116616', '21251315', '19946878']"
19216750,['20548290']
18047570,[]
20057383,"['19116616', '19888215', '21251315', '22082910']"
19214212,[]
19376871,[]
9529892,"['15803655', '16513741', '8576036']"
10094708,[]
15743948,['15803655']
16461685,[]
16513741,"['15803655', '9529892', '11489857']"
17360515,"['9683472', '9647837']"
4643319,"['4643318', '3887397', '15601715']"
20481463,"['20822141', '19425580', '21939233', '17444661', '21553855', '21995300', '3887397', '4643318']"
19197347,[]
20418438,"['18452026', '19447963']"
12381840,['9836874']
9836874,"['12381840', '3283109', '6355059', '342507', '342506', '7016835']"
16391048,[]
17827328,"['21856852', '21749486']"
19447963,['20418438']
19558674,[]
22645166,[]
10322035,[]
16569701,[]
22615773,"['17873073', '17397553', '17933898', '15377794', '19038032', '18384685', '17898162']"
22157005,[]
22544252,['22636780']
22636780,['22544252']
21826220,['22809431']
22809431,['21826220']
991,['1200991']
885836,[]
1200991,"['991', '4377654', '4219834']"
4219834,"['4377654', '4643318', '1200991']"
4377654,"['4219834', '1200991']"
18452026,['20418438']
8226666,[]
21749486,"['21856852', '17827328']"
20212490,[]
19946878,['19888215']
21995300,"['21553855', '20822141', '20481463', '17444661', '18376850']"
12509510,[]
4643318,"['4643319', '3887397', '4219834', '20481463']"
3887397,"['4643318', '4643319', '20481463']"
17444661,"['18376850', '21939233', '20481463', '20951028', '19425580', '21553855', '20822141', '21995300']"
18376850,"['17444661', '19425580', '20951028', '21939233', '21553855', '21995300']"
19425580,"['21553855', '20481463', '21939233', '18376850', '17444661']"
20822141,"['20481463', '21939233', '17444661', '21553855', '21995300', '20951028']"
20951028,"['18376850', '17444661', '21939233', '20822141']"
21553855,"['19425580', '21939233', '20481463', '21995300', '17444661', '20822141', '18376850']"
21939233,"['20481463', '17444661', '19425580', '21553855', '20822141', '18376850', '20951028']"
20594333,[]
21251315,"['19116616', '20057383', '19888215']"
12881415,['17360274']
17360274,['12881415']
21178420,[]
8576036,"['9529892', '15803655']"
8580851,[]
11790748,[]
12923090,['10583986']
9293008,['9293009']
11080142,[]
10347054,[]
12840036,[]
10583986,['12923090']
11489857,['16513741']
9293009,['9293008']
10986041,['11042151']
11042151,['10986041']
17557878,"['20656913', '17397553']"
19889083,"['18579432', '18245277']"
20525375,"['12011010', '15933008']"
20656913,['17557878']
21496229,[]
10816488,[]
12011010,['20525375']
19016788,[]
19166577,"['17561995', '16504068', '20562270']"
20562270,['19166577']
17601876,"['18608908', '17030582', '17630330']"
17630330,"['18667168', '17601876', '19411623']"
19783441,"['20348388', '18245277', '18757566']"
20348388,"['18757566', '18245277', '20435701', '19783441']"
17557880,['11923347']
20065328,"['18757566', '20508251']"
19578406,[]
18487346,"['18577180', '11120944', '17693596']"
18757566,"['18245277', '20348388', '21868608', '20065328', '20435701', '19783441']"
19801473,[]
20508251,['20065328']
20435701,"['18245277', '18689517', '20348388', '21868608', '21738678', '17513566', '18757566']"
21170349,[]
21738678,"['17337636', '17513566', '20435701', '18689517']"
21876677,[]
21868608,"['18245277', '18757566', '20435701']"
17337636,"['17513566', '21738678', '14745027', '18689517']"
17384199,['18245277']
17513566,"['17337636', '21738678', '18689517', '20435701']"
18223118,[]
18245277,"['18757566', '20348388', '21868608', '20435701', '17384199', '19783441', '19889083', '18689517']"
18689517,"['20435701', '17513566', '17337636', '21738678', '18245277']"
21088867,[]
17561995,"['16504068', '19166577', '15314660']"
18490947,[]
14977985,['10922040']
15528703,[]
17897469,[]
18667168,"['19411623', '17630330']"
19411623,"['18667168', '17630330']"
18608908,"['17601876', '17030582']"
18212113,['18613975']
17030582,"['18608908', '17601876']"
11120944,"['18487346', '18577180', '17693596', '19876375']"
11923347,"['17898162', '17557880']"
15155225,['14693548']
10449459,[]
16452151,['17693596']
17693596,"['16452151', '18487346', '11120944']"
17719250,"['12734214', '11825972']"
18577180,"['18487346', '11120944', '19876375']"
19414562,[]
19700634,"['19732157', '19876375']"
19622074,[]
19732157,"['19876375', '19700634']"
19876375,"['19732157', '19700634', '18577180', '11120944']"
15933009,['15933008']
16504068,"['17561995', '19166577']"
18321378,"['19858364', '17194304', '19745111', '20360213', '18613975', '18190707']"
15314654,['15314660']
15314660,"['15314654', '17561995']"
18579432,['19889083']
15933008,"['15933009', '20525375']"
18190707,"['18321378', '17194304']"
17360275,[]
15207060,"['11158125', '15634984']"
15634984,"['11158125', '15207060']"
11158125,"['10756003', '15207060', '15634984']"
14638801,['14745027']
14745027,"['17337636', '14638801']"
10756003,['11158125']
11825972,"['12734214', '17719250']"
12734214,"['11825972', '17719250']"
14693548,['15155225']
20124343,[]
22802648,[]
22371600,[]
20124339,['21036663']
21714942,[]
21801381,[]
23533610,[]
23335123,[]
22151541,[]
20559563,[]
21036663,"['22688819', '20124339']"
21109778,['21109780']
21109780,['21109778']
21697014,"['18221513', '15590782']"
22688819,['21036663']
21546911,[]
21655301,"['19587241', '18689507']"
19265535,['17993529']
18221513,"['21697014', '15590782']"
20966091,['9501228']
22009061,[]
17784789,['9841674']
20631681,[]
20682267,[]
20333253,['18811729']
19395564,[]
20668530,"['16825379', '21223537']"
21223537,['20668530']
22075580,['19325880']
12169610,['12897017']
14602910,[]
15968079,[]
9603824,['9721270']
22201529,[]
8944203,[]
1370845,"['2161866', '8380182', '2819870', '2157735', '1850635', '1847008', '1370849']"
8380182,"['1370845', '2157735', '1847008', '2160802', '3404526']"
1691208,[]
2155917,"['2993351', '6097599', '6325492', '2439535', '2821066']"
2157735,"['2161866', '6097599', '2852677', '1370845', '8380182', '2993351']"
2159539,[]
2161866,"['1370845', '3267215', '2157735', '2819870', '6088796', '1370849', '6325492']"
2549095,"['6289302', '6300854', '2826637', '174077']"
2819870,"['1370845', '2161866', '2410905', '6325492']"
2986127,"['2984684', '2822759', '3018280', '3023706', '6310601', '2447830', '2985793', '6208377', '6089122', '6272282']"
6097599,"['2852677', '2157735', '2155917', '6325492', '2993351', '2821066']"
3404526,"['1850635', '2160802', '1847316', '8380182', '3668915']"
2326177,[]
2160802,"['3404526', '1850635', '8380182']"
1847008,"['2410905', '6088796', '8380182', '1370845']"
1850635,"['1847316', '3404526', '3668915', '2160802', '1370845']"
6325492,"['2993351', '6097599', '2155917', '2161866', '2819870']"
4148753,"['4148752', '5664235']"
6269067,[]
284385,['1103090']
3060247,[]
2919166,['2437321']
2991576,"['6287021', '6300836', '6296764', '2821066', '6304629', '6088807', '6304692', '6328048', '6287022', '6306269', '6310157', '6294322']"
2447830,"['2822759', '3022645', '2999190', '3018280', '6310601', '6208377', '2986127', '2984684']"
2993351,"['2155917', '6325492', '6097599', '2157735']"
2852677,"['6097599', '2157735']"
6323766,"['209219', '2983123']"
2992365,[]
2839690,"['6323749', '2839722']"
2839722,"['6323749', '2835660', '424286', '2839690', '3033330', '3037110', '3010307', '6272282', '2536107', '6091052']"
2845133,"['3039165', '2845152', '2991572', '3039164', '2986132', '3037110', '3029432', '6384934', '3035560', '3031587', '2985827']"
14127971,[]
6272282,"['6273836', '6298739', '3010307', '2985793', '6330698', '6310601', '6300836', '6310545', '6089122', '6310508', '6284987', '2983312', '6296764', '2536821', '6158042', '2987843', '3006071', '6961439', '2839722', '6166921', '3003739', '2984684', '231762', '6641721', '6324120', '6287227', '2836612', '2986127']"
6287000,"['6251263', '3037110', '2985829', '6168777', '6954488', '6264143', '3029432', '2985827']"
6323749,"['2839722', '3037110', '215997', '6296450', '6245254', '2839690', '6954488', '3010307', '6287212', '14582204', '6251263', '6264121', '6275128']"
6324136,"['2987843', '6283138', '6281483', '6089122', '6324120', '6941270', '3021972']"
6324200,"['6093054', '2839704', '6310545', '6310508', '3009852', '2983090', '6267593', '2536835']"
6330698,"['6273836', '6272282', '3010307', '3006071', '3005620', '6298739', '2983090', '59925']"
3003384,"['2983090', '3039178', '2839704']"
3512851,"['6298739', '6941270', '2987518', '6384934', '3018280', '6324120']"
3006071,"['3003739', '2536107', '6300445', '2983090', '6330698', '6088796', '2536835', '3005620', '6273836', '2839704', '6272282', '3010307', '2555560']"
215997,"['6323749', '6275128', '3041041', '6296450', '6267593', '224211', '6283126']"
224211,"['229266', '6275128', '215997', '6296450']"
3033275,"['2536821', '2555560', '6261017', '2536835', '2836612', '3023656', '3003739', '2839704', '2536107', '6310545']"
3039165,"['2845133', '2845152', '3039164', '2991572', '3035560', '3037110', '3029432', '2986132', '2985829', '3018486']"
2835660,"['14582204', '6954488', '2985814', '2839722', '3037110', '6264143', '6264121']"
2836612,"['3018486', '3023656', '3003739', '2536107', '6261017', '3033275', '3010307', '2555560', '6272282']"
2476566,[]
2583126,"['3582371', '2410262', '6960240']"
2555560,"['6261017', '3033275', '2536835', '3009852', '2536821', '2536107', '2983090', '3003739', '2839704', '6262784', '4373732', '3023656', '3039178', '3018486', '6296443', '3006071', '2836612']"
2555569,"['2555559', '2536823', '2578578', '2476574']"
271968,['81487']
2984245,[]
2410905,"['1847008', '6310601', '2819870', '2985793', '6300836', '6273836', '6298739']"
3474623,"['3200828', '6371808', '3156376', '3951988']"
3375076,"['4000941', '2582352', '6273878', '2582358', '3748808', '6191328', '3601675', '6812046', '6754749']"
3200828,['3474623']
6300854,"['6289302', '2549095', '2826637', '174077']"
6546431,"['6278413', '6174938', '6546423', '6184674', '7099970', '6278410']"
6287019,"['6283173', '6264141', '6283172']"
6726891,[]
6183443,"['6188863', '6208380', '6308670', '6208377']"
6310601,"['2985793', '2822759', '2984684', '6298739', '6272282', '2986127', '6273836', '2447830', '6300836', '3018280', '2410905', '2999190', '3023706', '2433467', '6287227', '6296764']"
6694911,"['7301588', '6275358', '6328442']"
6208377,"['2822759', '3018280', '6178693', '2447830', '6183443', '6188863', '2986127', '2999190', '3023706', '6208380', '2983123']"
1370849,"['2161866', '1370845']"
6244553,[]
6260985,"['231762', '3458245', '3010307', '7041111']"
6273836,"['6272282', '6298739', '6330698', '3010307', '6310601', '6300836', '2983090', '2985793', '3006071', '6310545', '345245', '2410905']"
6284987,"['6283126', '6272282', '6328442', '6089122', '6268841', '6324120', '2987843']"
6310508,"['6093054', '2839704', '6324200', '6272282', '6324120', '6298739', '6310545', '6093056', '6267593']"
6865944,"['6946435', '2835666', '6275393', '6164057', '6985483', '6354707', '6165016', '274720', '7232206', '424286', '6254016', '7433108', '3837182', '6572965', '704357']"
3668915,"['1847316', '1850635', '223612', '3404526']"
2836621,"['1058473', '2819862', '3889848', '7029468']"
2825196,"['3083412', '3016727']"
5780700,[]
6331168,[]
2826637,"['6289302', '2549095', '6300854']"
3003395,"['6283162', '6328023']"
2437321,['2919166']
6092681,[]
6571704,"['6185919', '6262735', '6427769', '6296767']"
223612,"['3668915', '1847316']"
1847316,"['1850635', '3668915', '3404526', '223612']"
6256764,['2984244']
6279697,"['2985801', '168574']"
4148752,"['4148753', '5664235', '5664234', '5499743']"
1105573,"['6344792', '6639017', '2994558']"
360212,['333431']
388356,"['6840847', '345245']"
390497,"['704357', '274720', '6985483', '424286', '6164057', '7433108', '287003', '6254016', '7232206']"
19730,"['781674', '158748']"
10793753,"['177975', '4343967', '4349491', '6251266', '787937']"
6191328,"['2582358', '4000941', '6328421', '2933635', '3375076', '6812046', '6159641']"
3945551,[]
3003749,[]
3004048,"['6374657', '7071022']"
3005635,"['2997728', '2821066']"
6325487,[]
6371049,"['6761360', '6352491', '6341230', '6381522', '6361057', '6376355']"
6427769,"['6256762', '6571704']"
6374657,"['3004048', '2939103']"
3711299,"['4030087', '3988703']"
6097598,"['6255202', '6350355', '6194174', '2982911']"
2982911,"['6097598', '6194174', '6088574', '6255202']"
2984244,"['6256764', '6286998']"
2582358,"['4000941', '6191328', '3375076', '3027670', '6273878', '6754749', '2582352', '3748808', '2939103', '2933635']"
4000941,"['2582352', '3375076', '3748808', '6273878', '2582358', '6191328', '3601675', '6812046', '6754749']"
3748805,[]
3531233,"['6752026', '6392327', '6403468']"
3021812,"['2439535', '2997269', '3022645']"
3533986,"['6540277', '3905848', '3880723', '6352491', '6381522', '6761360', '3305559']"
3771764,"['3973975', '2999189']"
3027670,['2582358']
158748,"['19730', '789912']"
291033,"['414220', '218170', '6158735', '6159641']"
6273878,"['4000941', '3375076', '2582352', '6754749', '3748808', '204910', '345243', '6812046', '2582358', '198749', '6961411']"
7107852,"['7251142', '6998963', '3958151']"
6960359,[]
6761360,"['6371049', '6352491', '3539983', '6361057', '6344792', '3533986', '3905848']"
2420820,"['2422199', '3980693', '2439535']"
3958151,"['7107852', '7251142', '6998963']"
2422199,"['2420820', '2439535']"
6639017,"['7107846', '6344792', '6273385', '6360046', '1105573']"
6360046,['6639017']
3013925,[]
