pmid,ref_list
3463996,"['3010323', '708376', '3927292', '3545185', '1868826', '2835398', '3421948', '2317204', '2851999', '3034602']"
3545185,"['3421948', '3927292', '8192668', '1930136', '3010323', '3814093', '2604727', '2537618', '2930462', '3223923', '3463996', '5126913', '3689328', '2835398', '3435459', '849260', '2317204', '2851999']"
3223923,"['1930136', '2604727', '2690828', '3814093', '2537618', '2317204', '3890831', '1868826', '4004778', '8192668', '3010323', '2930462', '3435459', '3421948', '3545185', '3753440']"
1868826,"['2604727', '3010323', '3223923', '3890831', '1930136', '4004778', '2537618', '3814093', '8192668', '3463996', '3753440', '2317204']"
6300662,"['6185958', '6165999', '2543975', '2438693', '6138708', '6166005', '202957']"
6138708,"['6646125', '3856428', '6933549', '6300662']"
6315408,"['6270369', '6319760', '6278417', '228058', '6292456']"
6373250,['3025593']
2987274,[]
3925455,"['6330691', '6441888', '6700595']"
3856428,"['6933549', '6646125', '6138708']"
5288382,['5288383']
5288383,"['4504372', '5315962', '5288382', '4736534', '4528619']"
4332253,[]
4333043,"['62360', '4139705', '61588', '802513', '4504350']"
220959,['6289804']
6260081,"['200917', '6289804', '1323838']"
353736,"['266704', '267930', '1061124', '4519652', '272661', '266726', '291909']"
379820,['1064875']
269380,"['1064875', '4610567', '4810778', '4528619', '6262521', '273225', '202950', '4736534']"
424306,"['291909', '4610567', '4530310', '1093178', '4528619', '886649', '5315962', '4736534', '4527690']"
1093178,"['4610567', '291909', '886649', '424306', '4530310', '4527690', '1060124']"
4139705,"['4333043', '61588', '62360', '4504350']"
4528619,"['4810778', '4610567', '886649', '4527690', '1064875', '424306', '269380', '5315962', '4736534', '4504372', '1060124', '621786', '6262521', '4530310', '5288383']"
6274318,"['6293467', '6274310', '186036', '186037', '204299', '219849', '228650', '1016244', '230821']"
6293467,"['6274318', '204299', '219849', '186037', '6274310', '2557001', '3036064', '230821', '186036', '228650']"
6289804,"['1323838', '7753822', '2552442', '1327760', '8385607', '220959', '8615825', '3034602', '2543975', '2557001', '6260081', '2840891', '200917']"
6185958,"['6300662', '2438693', '6166005']"
2438693,"['6185958', '6300662']"
4205352,"['4205351', '5126912', '5126913', '4207070', '4217776', '743241', '5158908']"
4854723,['4854389']
999652,"['7236202', '7236203', '6615425', '11783', '2557001', '7283980', '6615424', '2025222']"
101211,['101214']
101214,['101211']
743241,"['766753', '5126913', '5126912', '4217776', '4205352']"
7236203,"['999652', '7236202', '6615425', '11783', '6615424', '2557001']"
838772,['838773']
7283980,"['2557001', '7236202', '999652', '8039', '6615425', '6274310']"
192195,"['1156392', '8039', '1220686']"
486120,['1220686']
6274310,"['230821', '6274318', '6293467', '186036', '2994628', '3140780', '219849', '3931636', '2840891', '6779811', '186037', '204299', '7283980', '3036064', '228650', '629745', '2557001']"
6477524,"['6860308', '2996486', '6860309', '6797402']"
6860308,"['6477524', '6860309']"
1150746,['16658379']
6797402,"['7082284', '6477524']"
6860309,"['6477524', '6860308']"
6435606,"['3045077', '3922296', '7197923', '575041']"
3922296,"['575041', '7191691', '6435606', '7115317', '575040', '3045077', '7197923']"
6318654,['6284707']
3479787,[]
3045077,"['6435606', '3922296', '7197923', '2107074']"
7197923,"['575041', '6435606', '3045077', '7190385', '3922296', '7191691', '575040', '7115317']"
8385607,"['1327760', '1323838', '7753822', '2552442', '8615825', '6289804', '2543975', '3896234']"
6370241,"['2388038', '187173']"
3718473,['2649083']
3863100,['3467361']
2829834,"['2302188', '2994060']"
2994060,"['2829834', '2302188', '2851999', '2552442']"
15938047,[]
3808952,[]
3472237,['3208738']
2104942,"['2153223', '1681116']"
2303035,[]
2153223,"['2104942', '1681116']"
2120042,['3896234']
1220686,"['1156392', '949336', '8039', '1016244', '597231', '486120', '228650', '186036', '192195', '838773']"
949336,"['597231', '1016244', '1220686', '1156392', '8039', '1314568']"
1016244,"['949336', '597231', '1220686', '6274318']"
1008844,[]
228650,"['6293467', '1220686', '6274318', '6274310', '186036']"
3435459,"['3421948', '3689328', '1930136', '2537618', '3814093', '2690828', '2604727', '3223923', '2930462', '3890831', '3545185', '8192668']"
2835398,"['3421948', '1930136', '3010323', '3814093', '2930462', '3463996', '3927292', '3545185']"
2537618,"['1930136', '3435459', '3223923', '3814093', '2604727', '8192668', '2930462', '2317204', '3545185', '3421948', '2690828', '1868826', '3753440', '3010323', '4004778', '3890831']"
2930462,"['1930136', '3814093', '3421948', '2537618', '3223923', '2604727', '3435459', '2690828', '3545185', '2835398', '8192668']"
2690828,"['3814093', '3223923', '2604727', '1930136', '4004778', '3435459', '3890831', '8192668', '2537618', '2930462', '3753440', '3421948']"
2604727,"['3814093', '1930136', '3223923', '2690828', '8192668', '2537618', '1868826', '3010323', '4004778', '2317204', '3890831', '3545185', '3435459', '3421948', '2930462', '3753440', '3927292']"
2317204,"['3223923', '1930136', '2604727', '2537618', '3010323', '3421948', '3814093', '1868826', '8192668', '3545185', '3463996', '3753440']"
6591179,[]
3010323,"['3463996', '3927292', '3838468', '3421948', '8192668', '3545185', '1868826', '2604727', '1930136', '2317204', '3034602', '3223923', '3814093', '2835398', '6165999', '3753440', '4004778', '2537618', '2543975', '708376', '6956912']"
3838468,"['3010323', '3927292', '4004778']"
3927292,"['3010323', '3421948', '3545185', '1339284', '3463996', '8192668', '3034602', '3838468', '2835398', '3814093', '2604727', '2543975', '1930136']"
3753440,"['1930136', '4004778', '3010323', '3223923', '3814093', '2690828', '2604727', '2537618', '1868826', '2317204', '8192668']"
3814093,"['2690828', '1930136', '2604727', '3223923', '8192668', '2537618', '4004778', '3435459', '2930462', '3890831', '3421948', '3545185', '3010323', '1868826', '2835398', '3753440', '2317204', '3927292']"
3689328,"['3421948', '3435459', '3545185']"
3421948,"['3689328', '3435459', '1930136', '3545185', '2835398', '3927292', '3010323', '3814093', '2930462', '8192668', '2604727', '2537618', '3223923', '2317204', '3463996', '6956912', '2690828']"
3890831,"['4004778', '1930136', '3814093', '3223923', '1868826', '2604727', '2690828', '8192668', '3435459', '2537618']"
4004778,"['3890831', '1930136', '3814093', '8192668', '2690828', '3753440', '3223923', '2604727', '1868826', '3010323', '2537618', '2025220', '3838468']"
802513,"['61588', '4333043', '62360']"
6165999,"['6166005', '6300662', '2543975', '3010323', '88048', '388427']"
6166005,"['6165999', '2543975', '6185958', '6300662']"
6956912,"['3034602', '3421948', '3010323']"
6287217,['6180296']
202957,"['191809', '4610567', '6300662', '4504372']"
6933549,"['6646125', '3856428', '6138708', '6656760']"
6180296,['6287217']
6262521,"['228058', '6278417', '6292456', '202950', '269380', '291909', '4528619', '621786', '4610567']"
6270369,"['6319760', '6315408', '6294326', '6283171']"
6278417,"['228058', '6315408', '6262521', '6292456', '202950']"
6283171,"['6294326', '6270369', '6292456', '6319760', '203944', '4610567']"
6292456,"['6294326', '6278417', '6262521', '228058', '6283171', '6315408']"
6294326,"['6283171', '6270369', '6292456', '4610567']"
228058,"['6278417', '6262521', '6315408', '6292456', '273225', '202950']"
6175960,"['212599', '203926']"
6291060,[]
6319760,"['6270369', '6315408', '6283171']"
4747985,"['4211166', '803566']"
6656760,"['6441888', '6700595', '6933549']"
6700595,"['6441888', '6656760', '3925455']"
6199739,[]
6330691,['3925455']
6441888,"['6700595', '6656760', '3925455']"
6646125,"['6933549', '3856428', '6138708']"
4329561,"['4329562', '4527690', '4360938']"
4329562,"['4329561', '4527690']"
73183,['203944']
191809,"['212599', '203926', '202957', '203944', '4360938', '803566']"
203926,"['212599', '191809', '6175960', '203944']"
203944,"['73183', '191809', '203926', '6283171']"
212599,"['203926', '6175960', '191809']"
6108560,[]
61588,"['802513', '4333043', '4139705', '62360', '4504350']"
267930,"['266704', '1061124', '272661', '353736', '266726', '4519652']"
266726,"['266704', '272661', '4519652', '267930', '1061124', '353736']"
266704,"['272661', '266726', '267930', '1061124', '4519652', '353736']"
272661,"['266704', '266726', '1061124', '4519652', '267930', '353736']"
4360938,"['170607', '4527690', '191809', '202950', '4329561']"
4519652,"['1061124', '266704', '272661', '266726', '353736', '267930']"
1061124,"['4519652', '266704', '272661', '267930', '353736', '266726']"
1060124,"['4610567', '886649', '4528619', '4736534', '4527690', '1093178']"
1064875,"['4610567', '269380', '4530310', '5315962', '379820', '4528619', '273225']"
4636395,['5315962']
978798,['1255846']
5315962,"['4636395', '4530310', '4504372', '5288383', '4736534', '1064875', '4527690', '4610567', '424306', '4528619']"
4504372,"['5315962', '5288383', '4610567', '4736534', '4528619', '202957']"
1255846,['978798']
4527690,"['4530310', '803566', '5315962', '4329561', '4528619', '4360938', '886649', '424306', '4736534', '1093178', '4610567', '291909', '4211166', '1060124', '4329562']"
4610567,"['1142475', '886649', '1093178', '424306', '1064875', '273225', '4528619', '269380', '1060124', '5315962', '4504372', '4736534', '4530310', '291909', '202957', '621786', '4527690', '202950', '6283171', '6294326', '6262521']"
170607,"['4360938', '202950']"
803568,[]
1142475,"['4610567', '886649']"
10793698,[]
202950,"['6262521', '6278417', '170607', '273225', '4360938', '269380', '4610567', '228058']"
273225,"['886649', '4610567', '202950', '269380', '228058', '1064875']"
621786,"['4610567', '4528619', '6262521', '4736534', '886649']"
886649,"['273225', '4610567', '1093178', '4528619', '1142475', '424306', '4527690', '1060124', '4530310', '621786']"
4211166,"['4747985', '803566', '4530310', '4527690']"
4530310,"['4527690', '5315962', '1064875', '424306', '4211166', '4610567', '4736534', '1093178', '291909', '4528619', '886649']"
4810778,"['4528619', '269380', '62360']"
803566,"['4527690', '4211166', '4747985', '191809']"
4736534,"['5315962', '4504372', '4610567', '291909', '4530310', '424306', '4527690', '4528619', '5288383', '269380', '1060124', '621786']"
597231,"['949336', '1016244', '1220686', '1156392', '3355524']"
88048,['6165999']
388427,['6165999']
6951196,[]
62360,"['4333043', '802513', '4139705', '61588', '4810778']"
5126912,"['4217776', '5126913', '4205352', '743241', '4207070', '766753', '5158908']"
5126913,"['5126912', '4217776', '743241', '5158908', '4205352', '3545185', '4207070', '766753']"
5158908,"['4205351', '5126913', '4205352', '5126912']"
4205351,"['5158908', '4205352']"
4854389,['4854723']
4207070,"['4205352', '4217776', '5126912', '5126913']"
1156392,"['8039', '192195', '1220686', '949336', '597231']"
4217776,"['5126912', '5126913', '4207070', '4205352', '743241']"
766753,"['743241', '5126912', '5126913']"
838773,"['838772', '1220686']"
3566712,"['1327760', '3896234', '1840696', '2025222', '2025221']"
3896234,"['2120042', '1327760', '3566712', '11783', '2025222', '8385607', '1840696']"
3875856,"['3019668', '3317405', '3543932', '2780546']"
3317405,"['3543932', '2780546', '3875856']"
2780546,"['3543932', '3317405', '3875856', '3461460']"
3461460,"['3543932', '2780546']"
3019668,['3875856']
3543932,"['2780546', '3317405', '3875856', '3461460']"
8039,"['1156392', '192195', '1220686', '7283980', '949336']"
7082284,['6797402']
6712596,[]
454374,[]
16658380,['16658379']
16658379,"['16658380', '1150746']"
7378068,['2644235']
7115317,"['3922296', '575041', '7191691', '575040', '7197923']"
575041,"['3922296', '7191691', '575040', '7197923', '7115317', '6435606']"
6777369,[]
7191691,"['3922296', '575041', '575040', '7115317', '7197923']"
6284706,"['6284707', '4008440']"
6284707,"['6284706', '6318654']"
4008440,['6284706']
2995326,[]
3460518,[]
575040,"['575041', '3922296', '7191691', '7190385', '7115317', '7197923']"
7190385,"['7197923', '575040', '3558321']"
1520279,[]
8866350,"['5449121', '8526860', '1599435', '4154743', '17386', '3147803', '25652']"
6308674,[]
1599435,"['2310372', '1898359', '8526860', '3931630', '8866350', '6525174', '5449121', '4154743', '3827851', '1318023', '6332622', '3663137']"
1335505,"['2580043', '6796647']"
8503874,"['8526860', '1318033', '2650680', '1318023', '1830474', '2138778', '2580043', '3718485', '6087800', '2348402', '3291862', '2820378', '6817329', '6264018']"
7693919,"['2457087', '1707970', '2561788', '1726797', '1715916', '2451020', '2484210']"
8526860,"['8503874', '1599435', '8866350', '1318033', '2310372', '3931630', '2650680', '1898359', '1318023', '1830474', '6817329', '5449121']"
6117854,[]
6797411,"['4722896', '1156396', '5472171', '5498453']"
4151898,[]
4982085,"['5808318', '5472171']"
17386,"['12754', '5449121', '23104', '6817329', '6943544', '8866350', '6626166', '167718']"
4327464,"['4327463', '5812469']"
184464,"['218198', '241998', '172531', '6769124', '5126640', '4550608', '192082']"
191471,['221532']
218198,"['6769124', '184464', '172531', '224077']"
224077,"['221905', '6769124', '218198', '192082']"
6769124,"['218198', '184464', '224077', '172531']"
7378066,['7378065']
3994671,"['4091828', '6943544']"
4391039,"['23104', '4375471']"
1147905,"['167718', '16742811', '12754']"
4154743,"['25652', '6626166', '5449121', '8866350', '1599435', '23104']"
3883990,"['193098', '288060', '7001464', '7045162']"
2784673,"['2848495', '2994073', '2825180', '2820378', '2580043']"
2138778,"['1533513', '3138987', '2580043', '2650680', '3931630', '1318023', '3663188', '1830474', '2959277', '2948490', '2511993', '8503874', '1318033', '3026311', '3291862', '6525174', '6093775', '3718485', '2959279', '6090646', '3499139', '6796647']"
5840799,"['4868186', '6749861', '6187754', '13938025', '6147356', '14060445']"
6386826,"['6147356', '6187754']"
6611405,"['4545390', '311382', '5316143', '20499', '314510', '7182478', '5765859', '5058962']"
2994073,"['2784673', '2825180', '2848495', '2820378']"
3497265,"['1081122', '5765859', '24736', '7310735', '6090646', '5046150', '7182478', '5316143']"
5046150,"['5765859', '5046147', '7310735', '5316143', '7182478', '24736', '299886', '3497265', '401862']"
2419484,['6264018']
2431098,"['2457089', '6090646', '2457087', '2580043', '2443667', '6090649', '2413915']"
6572915,['3663188']
2650680,"['1318023', '3718485', '2580043', '6087800', '3291862', '3931630', '2138778', '1318033', '8503874', '6093775', '6090646', '2820378', '2884101', '4091828', '8526860', '2348402', '6796647', '3026359', '2948490', '2959279', '6267261', '3663188', '6090645', '3138987', '6817329', '2959277']"
1318023,"['2650680', '1830474', '2348402', '8503874', '6087800', '2820378', '1318033', '2138778', '3718485', '4091828', '666748', '2580043', '8526860', '3931630', '1599435']"
1318033,"['8503874', '2650680', '8526860', '1318023', '11526827', '6087800', '2138778', '2348402', '3291862']"
6817329,"['17386', '6943544', '8526860', '2650680', '8503874']"
6418245,"['6952258', '7320872']"
1715916,"['2484210', '2458453', '2457087', '2457088', '1707970', '1703572', '2457089', '2484209', '7693919', '2561788', '1653320', '1726797', '2900892', '1972190']"
1726797,"['1707970', '2842491', '2457087', '2561788', '2451020', '7693919', '2457088', '2558167', '2484209', '1653320', '1715916', '2458453']"
2451020,"['2457089', '1707970', '2457087', '2561788', '1726797', '6090645', '2900892', '2457088', '1972190', '7693919', '6379151']"
2457089,"['2457087', '2451020', '2431098', '1707970', '6090649', '2457088', '6090646', '1715916', '6090645', '3147803', '6267261', '2900892', '2484210']"
2484210,"['1715916', '2458453', '2457088', '2457087', '1703572', '1707970', '2443667', '2484209', '2834737', '2842491', '7693919', '2457089']"
1703572,"['2561788', '2457087', '2484210', '1715916', '2458453', '1707970', '2457088']"
1898359,"['2310372', '1599435', '3931630', '8526860', '6525174', '1830474', '3827851']"
5340539,['5340538']
4372600,"['4200724', '1260175']"
238033,"['238034', '49421', '11526827', '299886', '7264996', '4783096', '4783095', '3082623', '6273550', '5046147', '4227212', '24736', '5494227']"
49421,"['238033', '238034', '1079536']"
5808318,['4982085']
1156396,"['5472171', '174544', '4722896', '5498453', '5806399', '6797411']"
4722896,"['5806399', '5498453', '1156396', '6797411', '5472171', '5494227']"
4333037,['4351811']
5055788,['5579661']
4200724,"['4372600', '1260175', '4152296', '4508336']"
5685862,[]
12754,"['17386', '167718', '1147905', '5449121']"
167718,"['1147905', '12754', '16742811', '17386']"
4900611,['4357461']
5812469,['4327464']
4327463,['4327464']
1054517,[]
241998,"['184464', '221905', '4550608', '192082']"
14228505,[]
564692,"['597271', '233974', '1109230']"
560846,"['233974', '1109230', '1016242']"
4550608,"['5126640', '4942408', '241998', '192082', '184464', '172531']"
172531,"['184464', '218198', '6769124', '5126640', '4550608']"
192082,"['5126640', '4942408', '4550608', '241998', '224077', '184464', '221905']"
221905,"['224077', '241998', '192082']"
322137,"['945806', '54920']"
659615,['6033532']
453335,"['920777', '322503']"
7378065,['7378066']
6943544,"['23104', '17386', '6817329', '4091828', '2959277', '3994671']"
4391041,[]
16742811,"['16742812', '942402', '534522', '1147905', '597246', '534523', '6349622', '167718']"
14041948,[]
5449121,"['17386', '8866350', '1599435', '12754', '4154743', '6626166', '8526860']"
25652,"['4154743', '6626166', '23104', '8866350']"
6626166,"['4154743', '25652', '17386', '5449121']"
307249,['288060']
7001464,"['288060', '193098', '3883990']"
3486656,"['3663137', '6525174', '2432882', '3026354', '2884101', '6332622', '3827851', '4084229', '2825180', '3827881', '3931630']"
2848495,"['2784673', '2825180', '2994073', '2820378']"
6525174,"['6332622', '3827851', '3026354', '3663137', '2884101', '2432882', '4084229', '3486656', '3827881', '3931630', '2339124', '1599435', '6093775', '2310372', '1898359', '2138778', '6089758', '2825180']"
3082623,"['11526827', '238034', '299886', '7264996', '6802933', '238033']"
3663137,"['6525174', '3827851', '6332622', '3026354', '3486656', '2432882', '4084229', '2825180', '2884101', '3827881', '3931630', '2339124', '1599435']"
2825180,"['2784673', '3663137', '2848495', '2994073', '2820378', '3486656', '3487314', '3931630', '3827851', '6525174', '6332622']"
3479980,[]
3693396,[]
444224,"['813634', '666748']"
6273550,['238033']
3499139,"['3342018', '3487314', '6093775', '2138778']"
2959279,"['3663188', '2959277', '2580043', '3931630', '2959278', '3026311', '2948490', '2650680', '2138778', '6093775']"
3342018,"['3499139', '3487314']"
3138987,"['2884101', '2138778', '2511993', '1533513', '2650680']"
2850801,"['2959277', '2959278', '2948490', '3026311', '1533513', '2825654']"
6349622,"['534522', '534523', '226065', '16742811', '942402', '534520', '16742812']"
2511993,"['1533513', '2138778', '3138987']"
6147356,"['6187754', '4868186', '6749861', '6386826', '4348786', '5840799']"
813634,"['1068456', '444224', '666748']"
13621406,[]
13914195,[]
14060445,['5840799']
14206423,['14206424']
14206424,['14206423']
14208357,[]
14225256,[]
14284779,[]
6749861,"['6187754', '6147356', '4868186', '5840799']"
6187754,"['6147356', '6749861', '4868186', '6386826', '5840799', '4102003']"
5058962,"['20499', '4545390', '6611405']"
5316143,"['5765859', '7182478', '311382', '5046147', '5046150', '314510', '6611405', '7310735', '20499', '3497265']"
4545390,"['6611405', '20499', '5058962', '299886']"
4449057,[]
18220,[]
311382,"['314510', '6611405', '5316143', '7182478', '7310735', '5765859', '20499']"
314510,"['311382', '5316143', '7182478', '6611405', '7310735', '5765859']"
6611404,['7182478']
5765859,"['5316143', '5046147', '5046150', '7182478', '7310735', '3497265', '311382', '299886', '6611405', '401862', '314510', '24736']"
5498453,"['4722896', '5806399', '4850387', '1156396', '6797411', '5472171']"
1082506,"['1972190', '1083424']"
1083424,"['2558168', '6267261', '1082506', '3147803']"
1087642,[]
6802933,"['3082623', '6600842']"
6600842,['6802933']
4227212,"['11526827', '7264996', '238034', '299886', '238033']"
1081122,"['3497265', '20499', '24736', '6267261']"
299886,"['401862', '11526827', '5046147', '7264996', '238034', '238033', '3082623', '24736', '5046150', '4783096', '4227212', '4545390', '5765859', '6264018']"
401862,"['299886', '5046147', '6264018', '24736', '7264996', '5046150', '11526827', '5765859']"
20499,"['4545390', '1081122', '6611405', '5058962', '6796647', '5316143', '311382']"
24736,"['5046147', '299886', '3497265', '401862', '1081122', '5046150', '7264996', '6264018', '11526827', '7310735', '238033', '5765859']"
7431249,[]
6267261,"['6090645', '2558168', '6090646', '1083424', '6090649', '1081122', '2650680', '2457089', '2580043']"
7310735,"['7182478', '5046150', '5765859', '5316143', '311382', '5046147', '6604805', '3497265', '314510', '24736', '6984069']"
7182478,"['7310735', '5765859', '5316143', '5046150', '6611404', '314510', '5046147', '311382', '6611405', '3497265']"
11526827,"['7264996', '299886', '238034', '3082623', '238033', '4227212', '1318033', '24736', '4783096', '5046147', '401862']"
6033576,[]
4868186,"['6147356', '6749861', '5840799', '6187754', '4348786']"
5352046,[]
5046147,"['5765859', '299886', '5046150', '401862', '5316143', '7182478', '24736', '7310735', '238034', '7264996', '11526827', '238033']"
4102003,['6187754']
306839,[]
6264018,"['2419484', '401862', '2959277', '24736', '299886', '8503874']"
6984069,['7310735']
6603873,[]
6604805,['7310735']
5767880,[]
2580043,"['6796647', '2650680', '2959279', '3663188', '3931630', '2138778', '3718485', '6090646', '2959277', '3291862', '6093775', '2948490', '4091828', '1335505', '8503874', '6087800', '3026359', '2820378', '2431098', '1318023', '6090645', '6288929', '3026311', '2784673', '6267261']"
2413915,['2431098']
6796647,"['2580043', '2650680', '20499', '3718485', '1335505', '3931630', '2138778']"
1079536,['49421']
2451500,"['2870180', '2873240']"
3827851,"['6332622', '6525174', '3026354', '3663137', '4084229', '2432882', '3827881', '2884101', '3486656', '6089758', '3931630', '2339124', '2310372', '1898359', '2825180', '1599435']"
3147803,"['2558168', '6090649', '2458453', '6090645', '2457088', '2457087', '2348402', '2457089', '8866350', '2443667', '1083424', '2484209']"
3064854,['3291862']
3291862,"['3064854', '2650680', '3931630', '1904293', '2580043', '2884101', '3718485', '2348402', '6093775', '2138778', '6090646', '8503874', '1318033', '4091828', '2820378', '6087800']"
1830474,"['1318023', '2138778', '8503874', '1898359', '8526860']"
6087800,"['4091828', '666748', '2650680', '2820378', '1318023', '3718485', '1318033', '2580043', '6090646', '8503874', '3931630', '3291862']"
7264996,"['11526827', '299886', '238034', '238033', '4227212', '3082623', '24736', '5046147', '401862', '4783096']"
2348402,"['1318023', '2650680', '3291862', '3147803', '8503874', '1318033']"
4091828,"['6087800', '666748', '2820378', '2650680', '2580043', '1318023', '3931630', '6943544', '3994671', '3291862', '3718485', '6093775']"
2950123,['6310590']
1904293,"['3291862', '2884101']"
2173565,[]
1533513,"['2138778', '3026311', '2959278', '2948490', '2959277', '2511993', '3138987', '2850801']"
3026311,"['2948490', '2959278', '2959277', '1533513', '3663188', '2959279', '2138778', '2580043', '2850801']"
6952258,"['7320872', '6418245']"
7320872,"['6952258', '6418245']"
2457088,"['2458453', '2457087', '2484210', '1715916', '2834737', '2484209', '1707970', '2443667', '2561788', '2842491', '2457089', '3147803', '1653320', '2451020', '1726797', '6090649', '2900892', '1703572']"
2458453,"['2484210', '1715916', '2457087', '2484209', '2457088', '2443667', '3147803', '1707970', '1703572', '1653320', '2834737', '1726797']"
2900892,"['2900332', '1972190', '2484209', '2457087', '2451020', '2873240', '2457088', '1715916', '2457089', '2842491']"
2457087,"['2458453', '1707970', '1715916', '2457088', '2484209', '2484210', '2457089', '1703572', '2451020', '2561788', '7693919', '1726797', '2900892', '2431098', '2443667', '3147803', '2558167', '2873240', '1972190']"
2834737,"['2448800', '2457088', '2458453', '2484210']"
